상품코드,상품명,매입단가,매입단가 계산,매출단가,매출단가 계산,실매출단가,VAT
P00233,심플(갑),1696,1696,2300,2300,2300,Y
P00234,쌀과자,491,491,1200,1200,1200,Y
P00235,썬넛트멸치아몬드 35g,737,737,0,972.84,970,Y
P00236,썬크스트오렌지에이드350,0,1091,1500,1500,1500,Y
P00237,썬키스트레몬에이드240,0,582,800,800,800,Y
P00238,씨리얼,0,509,700,700,700,Y
P00239,아몬드,586,586,0,773.52,770,Y
P00240,아미노업제로,0,582,800,800,800,Y
P00241,아이셔마법천자문,311,311,0,410.52,410,Y
P00242,알새우칩,322,322,500,500,500,Y
P00243,암바사캔,352,352,0,464.64,460,Y
P00244,애니데이일반24,0,2182,3000,3000,3000,Y
P00245,야채크래커,413,413,0,545.16,540,Y
P00246,양파링,0,509,700,700,700,Y
P00247,얼음물,409,409,1000,1000,1000,Y
P00248,엄마손파이,0,1091,1500,1500,1500,Y
P00249,에쎄(순),0,1818,2500,2500,2500,Y
P00250,에쎄맨솔,1844,1844,0,2434.08,2430,Y
P00251,에쎄원,0,1818,2500,2500,2500,Y
P00252,에이스,1311,1311,0,1730.52,1730,Y
P00253,엔츠,1844,1844,0,2434.08,2430,Y
P00254,여행셋트,1639,1639,0,2163.48,2160,Y
P00255,영지골드,180,180,0,237.6,230,Y
P00256,오늘의차(옥수수),614,614,1500,1500,1500,Y
P00257,오늘의차(혼합),0,1091,1500,1500,1500,Y
P00258,오다리,286,286,600,600,600,Y
P00259,오데뜨,0,1455,2000,2000,2000,Y
P00260,오라떼크림소다,573,573,0,756.36,750,Y
P00261,오란씨-오렌지맛,327,327,0,431.64,430,Y
P00262,오란씨-파인,327,327,0,431.64,430,Y
P00263,오란씨소다 복숭아캔,0,582,800,800,800,Y
P00264,오란씨포도,0,582,800,800,800,Y
P00265,오리온웨하스 딸기맛,311,311,0,410.52,410,Y
P00266,오리온초코칩쿠키,0,509,700,700,700,Y
P00267,오징어 버터구이 40g,919,919,0,1213.08,1210,Y
P00268,옥수수수염차,622,622,0,821.04,820,Y
P00269,왕고래밥,622,622,0,821.04,820,Y
P00270,요플레(홈),0,1091,1500,1500,1500,Y
P00271,우비-아동,0,1091,1500,1500,1500,Y
P00272,우산(소)-고급,0,7273,10000,10000,10000,Y
P00273,우산-7000,1885,1885,0,2488.2,2480,Y
P00274,우산-자동,0,10909,15000,15000,15000,Y
P00275,웅진고칼슘오렌지,0,1309,1800,1800,1800,Y
P00276,워싱캐쥬얼A,4918,4918,0,6491.76,6490,Y
P00277,유자꿀차,0,873,1200,1200,1200,Y
P00278,유자차,0,1091,1500,1500,1500,Y
